> No.0   color.3
103.264651   30.663543
103.260686   30.659950
103.255854   30.654870
103.250403   30.650038
103.246314   30.645578
103.239624   30.638887
103.231783   30.632207
103.223930   30.626734
103.218695   30.623522
103.211319   30.617811
103.205846   30.614004
103.199422   30.609840
103.195496   30.607579
103.189547   30.603534
103.184788   30.600084
103.179553   30.595801
103.174675   30.591518
103.171344   30.587354
103.166585   30.581405
103.163254   30.577836
103.159685   30.575814
103.154212   30.572958
103.148501   30.569627
103.141958   30.565463
103.139340   30.562965
103.137794   30.560942
103.135771   30.555469
103.132202   30.548450
103.128871   30.541430
103.127205   30.537385
103.123398   30.528938
103.116498   30.513710
103.113166   30.506809
103.107456   30.493960
103.100317   30.482063
103.089015   30.461481
103.087944   30.460291
103.086754   30.455770
103.084732   30.447323
103.082352   30.440065
103.077237   30.432213
103.070812   30.423171
103.067481   30.418055
103.060223   30.409013
103.052371   30.399734
103.041664   30.391167
103.031551   30.382720
103.024531   30.376772
103.017631   30.370942
103.010136   30.362376
103.006804   30.357379
103.004782   30.348575
103.004425   30.344649
103.003354   30.339176
103.001332   30.332871
102.999785   30.323829
> No.141   color.3
103.105619   30.515494
103.097510   30.505632
103.094219   30.502642
103.089277   30.498140
103.075859   30.485022
103.066777   30.475601
103.063760   30.472673
103.055752   30.464910
103.041855   30.451204
103.033359   30.443083
103.026563   30.437766
103.018262   30.431697
102.987051   30.407952
102.969395   30.396890
102.955703   30.388306
102.906367   30.364019
102.903701   30.362703
102.871006   30.340928
102.826465   30.315457
102.813184   30.308179
102.812012   30.307529
102.811777   30.307456
102.809375   30.305972
102.802949   30.301736
102.801309   30.300430
102.790244   30.291235
102.787031   30.288093
102.783848   30.284976
102.778467   30.278708
102.777256   30.277295
102.771221   30.266809
102.769160   30.263218
102.766826   30.257534
102.765020   30.251309
102.763926   30.247537
102.759014   30.216851
102.757803   30.212239
102.756436   30.206335
102.753037   30.197437
102.748809   30.189458
102.734023   30.158984
102.733027   30.156934
102.730098   30.147368
102.727383   30.138462
102.726162   30.134460
102.725596   30.132773
102.724326   30.128975
102.722305   30.123845
102.721309   30.121348
102.719512   30.117266
102.717930   30.113672
102.716641   30.110977
102.714082   30.105603
102.707275   30.089795
102.702832   30.078518
102.696064   30.068965
102.689268   30.061992
102.682285   30.057195
> No.145   color.3
105.777788   37.301114
105.804209   37.272852
105.895967   37.165427
105.951917   37.082621
105.998915   37.017719
106.036961   36.968483
106.048151   36.950579
106.099625   36.872249
106.175718   36.760348
> No.146   color.3
100.403789   37.696800
100.462141   37.651710
100.483360   37.622535
100.523145   37.601316
100.573540   37.582749
100.578315   37.580362
> No.147   color.3
100.675313   37.556226
100.714114   37.556226
> No.148   color.3
100.184713   38.045503
100.241687   38.035199
100.359122   38.006559
100.467288   37.977418
100.521605   37.959777
100.611653   37.938815
100.662658   37.928658
> No.149   color.3
100.662658   37.928658
100.709324   37.921054
> No.150   color.3
100.709324   37.921054
100.713871   37.920029
> No.151   color.3
100.713871   37.920029
100.778236   37.905522
> No.152   color.3
100.778236   37.905522
100.800318   37.897111
> No.153   color.3
100.800318   37.897111
100.827356   37.886812
> No.154   color.3
100.827356   37.886812
100.837286   37.883029
> No.155   color.3
100.837286   37.883029
100.898213   37.847698
> No.156   color.3
100.898213   37.847698
100.934856   37.835014
> No.157   color.3
100.934856   37.835014
101.010258   37.811055
> No.158   color.3
101.010258   37.811055
101.060996   37.802599
> No.159   color.3
101.060996   37.802599
101.115961   37.793438
> No.160   color.3
101.115961   37.793438
101.155140   37.795295
> No.161   color.3
101.155140   37.795295
101.191395   37.797013
> No.162   color.3
101.191395   37.797013
101.248687   37.796141
101.277898   37.795697
> No.235   color.3
102.939667   24.327080
102.938607   24.322376
102.937226   24.315367
102.935852   24.310280
102.933848   24.304043
102.932338   24.300645
> No.236   color.3
102.938747   24.328224
102.938735   24.335217
102.940956   24.340329
102.944018   24.345824
102.946025   24.349584
102.947922   24.351992
102.950552   24.354106
102.952658   24.356126
> No.237   color.3
102.953544   24.356806
102.954555   24.358533
102.955927   24.360653
102.957534   24.363899
102.959432   24.369176
102.960284   24.373880
102.960515   24.379837
102.960112   24.383491
102.960653   24.388774
102.961604   24.391940
102.964227   24.395580
102.967160   24.398737
102.969882   24.400935
102.973021   24.403226
> No.238   color.3
102.979682   24.425489
102.978760   24.430010
102.978253   24.433857
102.978787   24.437025
102.979848   24.441248
> No.239   color.3
103.206362   25.268560
103.208927   25.274458
103.211417   25.279645
103.214361   25.287998
> No.240   color.3
102.181025   24.174135
102.183624   24.157747
102.200424   24.083347
102.234024   24.004147
102.303624   23.912947
102.416424   23.800147
102.514824   23.725747
102.582023   23.692147
102.682823   23.656147
102.781223   23.651347
102.891623   23.646547
102.889223   23.644147
> No.242   color.3
101.253809   27.769165
101.253671   27.768960
> No.243   color.3
101.253671   27.768960
101.249443   27.762668
101.229678   27.733220
101.219863   27.724102
101.219131   27.723425
101.207305   27.715674
101.202031   27.712209
101.201064   27.711582
101.181270   27.697083
101.173633   27.691223
101.173467   27.691033
101.169121   27.685281
> No.244   color.3
101.168672   27.685002
101.155107   27.668364
101.140830   27.651382
101.138965   27.649609
101.136211   27.646897
101.133369   27.644094
101.131729   27.642590
101.129925   27.640936
> No.245   color.3
101.129925   27.640936
101.129922   27.640933
101.129063   27.640139
101.123164   27.634473
101.118115   27.630088
> No.246   color.3
100.941162   27.467617
100.959141   27.482542
100.967373   27.491726
100.981045   27.507507
100.994131   27.524758
100.995703   27.526824
101.003740   27.533491
101.006846   27.536069
101.014863   27.542720
101.018711   27.545916
> No.247   color.3
101.021064   27.547935
101.039287   27.563340
101.043789   27.566272
101.054082   27.572976
101.060801   27.577354
101.062422   27.578411
101.068408   27.583018
101.083447   27.594565
101.097324   27.607976
101.107686   27.618933
101.117998   27.629971
> No.252   color.3
102.544945   27.387964
102.557925   27.349024
102.576468   27.297104
102.607990   27.221078
102.645076   27.166655
102.684943   27.110099
102.725460   27.055397
102.788506   26.993279
102.851551   26.923743
102.909162   26.859928
> No.253   color.3
102.909162   26.859928
102.911816   26.856988
102.936849   26.831956
> No.254   color.3
101.747866   30.002101
101.759701   29.973698
101.775086   29.900323
101.782187   29.839966
101.779820   29.800912
101.760820   29.753850
101.757764   29.748584
101.756396   29.746228
101.750342   29.736206
101.748438   29.733281
101.736660   29.714575
101.736172   29.713850
101.722959   29.694043
101.706279   29.667903
101.691641   29.641858
101.660732   29.578174
101.654688   29.563384
101.654219   29.562256
101.651016   29.551221
101.646240   29.533020
101.636309   29.500283
101.628711   29.485986
101.617305   29.469189
101.614795   29.466116
101.614170   29.465459
101.611973   29.463184
101.573086   29.401680
101.568408   29.394263
101.566182   29.389993
101.550625   29.364648
101.542383   29.354561
101.524619   29.336770
101.507314   29.315435
101.484111   29.279590
101.483936   29.279324
101.467070   29.253667
101.442539   29.221768
101.442061   29.221157
101.434805   29.212009
101.433018   29.209463
101.387852   29.155366
101.385352   29.152532
101.363350   29.127510
101.330439   29.082988
101.314648   29.051772
101.313037   29.049150
101.307783   29.040581
101.292188   29.015154
101.290479   29.012346
101.280234   28.995642
101.268848   28.977712
101.260342   28.965176
101.255654   28.959390
101.255049   28.958647
101.243457   28.944470
101.239453   28.939458
101.236621   28.935752
101.225928   28.920552
101.220791   28.913247
101.219434   28.911235
101.213008   28.901658
101.197598   28.881042
101.186328   28.865957
101.180869   28.858635
101.155918   28.820530
101.155674   28.820154
101.155537   28.819951
101.137676   28.792397
> No.255   color.3
103.480230   31.059129
103.480719   31.060055
103.481285   31.060621
103.482637   31.061323
> No.259   color.3
103.342293   30.901047
103.338769   30.896614
103.332562   30.890947
103.328379   30.885819
103.319744   30.875430
103.312187   30.868143
103.306655   30.863151
103.300044   30.854380
103.296131   30.849253
103.292218   30.842506
103.288979   30.837784
103.284527   30.832926
> No.260   color.3
103.478558   31.057606
103.474013   31.052393
103.463175   31.045038
103.454810   31.037077
103.450762   31.032759
103.444015   31.027227
103.438658   31.022102
103.427877   31.012262
103.419863   31.004154
103.412846   30.996733
103.404615   30.988772
103.399488   30.984724
103.396048   30.981289
103.392797   30.978466
103.389460   30.974016
103.385353   30.969482
103.382273   30.966829
103.380305   30.962979
103.378843   30.958682
103.371920   30.953225
103.368070   30.950059
103.363449   30.946894
103.360763   30.944649
103.357929   30.942490
103.353476   30.938307
103.350913   30.935069
103.350726   30.934971
103.347520   30.930694
103.346086   30.927826
103.341123   30.923414
103.338035   30.921319
> No.262   color.3
103.314200   37.188170
103.372900   37.172010
103.456600   37.148870
103.557600   37.128300
103.685100   37.108890
103.798900   37.086900
103.888584   37.062890
103.971668   37.038885
> No.264   color.3
103.558993   36.006467
103.579492   35.995488
103.598936   35.986083
103.618953   35.976401
103.635547   35.966535
103.642784   35.957532
103.642784   35.940114
103.654827   35.932650
103.682757   35.919587
103.704538   35.909219
103.721962   35.899888
103.738874   35.889935
103.758604   35.881848
103.774748   35.872310
103.825058   35.846989
103.866157   35.825679
103.872328   35.823255
103.908778   35.808935
103.928235   35.802018
103.949877   35.786102
103.982815   35.771952
104.003951   35.760951
104.033806   35.741886
104.052688   35.726972
104.070592   35.712830
104.087361   35.699586
104.105554   35.687352
104.107290   35.686052
> No.265   color.3
103.559335   36.069906
103.567558   36.065842
> No.266   color.3
103.537365   36.072273
103.563242   36.011386
103.575649   35.998380
> No.269   color.3
100.186699   37.974340
100.198341   37.961484
100.208725   37.949159
100.223361   37.931193
100.235573   37.916809
100.247833   37.903935
100.261323   37.890025
100.274209   37.877135
100.284570   37.864803
100.295581   37.852961
100.306534   37.839606
100.316251   37.827286
100.325367   37.815987
100.333792   37.803191
100.342756   37.787860
100.348129   37.779466
> No.270   color.3
100.412601   37.671893
100.416282   37.666157
100.424005   37.652362
100.432339   37.638048
100.432486   37.637724
> No.271   color.3
103.457825   33.689647
103.478438   33.671940
103.510059   33.643041
103.527921   33.624016
103.528311   33.623619
103.542120   33.609555
103.550831   33.599655
103.581514   33.563102
103.595245   33.544819
103.597188   33.542863
103.603624   33.536340
103.612169   33.527685
103.630001   33.507497
103.646475   33.493478
103.651915   33.488842
103.656524   33.485571
103.669229   33.476545
103.676563   33.471332
103.698458   33.453054
103.719893   33.435146
103.724249   33.430622
103.726197   33.428594
> No.272   color.3
103.726197   33.428594
103.730655   33.423954
103.740421   33.413803
103.760929   33.393981
103.774268   33.383622
103.780069   33.379116
103.781485   33.377983
103.786329   33.374101
103.789591   33.371491
103.808819   33.356091
103.811485   33.353954
103.828331   33.337934
103.837500   33.329570
103.876417   33.281899
103.904514   33.246712
103.915521   33.233388
103.930004   33.226436
103.943329   33.217167
103.963818   33.203850
104.007588   33.186584
104.020420   33.183120
104.029558   33.179725
104.044643   33.169355
104.052185   33.163698
104.067270   33.153327
104.088955   33.134471
104.120067   33.113729
104.152122   33.087331
104.198320   33.053390
104.229432   33.021335
104.271858   32.980794
104.306742   32.941196
104.335969   32.911027
> No.273   color.3
104.375205   33.022568
104.375439   33.022517
> No.274   color.3
104.811937   34.699847
104.785165   34.720830
104.769344   34.729323
104.737704   34.743811
104.680508   34.763295
104.581982   34.805022
104.537864   34.816727
104.510529   34.832327
104.479287   34.849368
104.454672   34.855049
104.451832   34.855995
> No.275   color.3
105.684506   37.391715
105.739306   37.342230
105.777788   37.301114
> No.277   color.3
103.950870   31.250617
103.949910   31.248532
103.948910   31.246321
103.947325   31.242985
103.947033   31.241483
103.946115   31.239815
103.943905   31.238105
103.943321   31.237730
103.941819   31.237188
103.941152   31.236812
103.940735   31.235853
103.940526   31.235269
103.939609   31.235019
103.938524   31.233684
103.937732   31.231891
103.937565   31.231515
> No.380   color.3
 99.873842   22.616236
 99.918285   22.566237
 99.987729   22.477349
100.046061   22.363462
100.098750   22.249851
100.110514   22.229357
100.122155   22.207509
100.133549   22.184553
100.144544   22.160766
100.155076   22.136425
100.165023   22.111808
100.174263   22.087190
100.182640   22.062819
100.248836   21.905134
> No.382   color.3
100.003920   27.587485
100.014575   27.580254
100.025260   27.573022
