> FaultNo.1   color.1
102.411270   30.510869
102.391846   30.498364
102.379561   30.490042
> FaultNo.40   color.1
103.289248   30.461375
103.285684   30.456067
103.282285   30.451716
103.265752   30.430508
103.254863   30.414216
103.250527   30.404409
> FaultNo.41   color.1
103.315908   30.540435
103.311611   30.527100
103.307500   30.512173
> FaultNo.42   color.1
101.744650   24.736521
101.748684   24.731290
101.752718   24.726059
101.756752   24.720827
101.760787   24.715627
101.764821   24.710427
101.768855   24.705195
101.772858   24.699964
101.776892   24.694733
101.785792   24.683193
101.794661   24.671654
101.803529   24.660114
101.812398   24.648575
101.821267   24.637035
101.830136   24.625496
101.839005   24.613987
101.847904   24.602448
101.868690   24.576014
101.889446   24.549550
101.910201   24.523117
101.930988   24.496684
101.951774   24.470220
101.972529   24.443787
101.993285   24.417354
102.014071   24.390890
102.027620   24.377843
102.041170   24.364826
102.054719   24.351809
102.068268   24.338762
102.081817   24.325715
102.095367   24.312667
102.108916   24.299620
102.122465   24.286603
102.129702   24.275064
102.136970   24.263494
102.144207   24.251954
102.151444   24.240415
102.158711   24.228875
102.165948   24.217336
102.173185   24.205765
102.176959   24.199773
102.181025   24.174135
> FaultNo.43   color.1
102.581231   25.637829
102.581975   25.633135
102.582190   25.629495
102.582301   25.624610
102.582095   25.620779
102.581677   25.617139
102.581367   25.612063
102.580424   25.607083
102.580009   25.601815
102.579487   25.597889
102.578438   25.593482
102.577283   25.589748
102.575811   25.586972
102.574128   25.584004
102.573393   25.582089
102.571923   25.577780
102.571190   25.573567
102.571196   25.569256
102.571623   25.564754
102.572298   25.560373
102.571212   25.556229
102.570586   25.550962
102.569749   25.546077
102.569227   25.542246
102.568073   25.538224
102.566711   25.532191
102.565876   25.526348
102.565668   25.523667
102.565042   25.519070
102.563993   25.515431
102.562909   25.511382
102.561054   25.507867
102.558846   25.504899
102.556532   25.502699
102.553797   25.500115
102.551169   25.496669
102.549068   25.493414
102.547491   25.491117
> FaultNo.44   color.1
102.579547   25.641269
102.578769   25.647602
102.577630   25.652105
102.576672   25.659195
102.575424   25.666332
102.574439   25.674044
102.573058   25.681708
102.572420   25.685756
102.570490   25.690044
102.568613   25.693398
102.566840   25.698357
102.566016   25.703027
102.565639   25.708822
102.565025   25.713948
102.563788   25.717340
102.563090   25.720703
102.563057   25.725755
102.562234   25.729611
102.560855   25.735072
102.560032   25.738377
102.558680   25.743096
102.556776   25.746521
102.556162   25.750186
> FaultNo.45   color.1
102.545915   25.488149
102.542024   25.484416
102.538976   25.480683
102.536350   25.476854
102.533841   25.472372
102.531521   25.467279
102.528686   25.461917
102.526271   25.458743
102.521452   25.454356
102.517915   25.451419
102.512589   25.447739
102.509029   25.445265
102.505553   25.442786
102.504116   25.441052
102.501787   25.437937
102.498874   25.434716
102.496700   25.432720
> FaultNo.46   color.1
102.496700   25.432720
102.494172   25.430398
102.490955   25.428035
102.486962   25.424780
102.482786   25.422081
102.476685   25.418153
102.472061   25.415393
102.467439   25.411287
102.464686   25.407550
102.463953   25.405730
102.464059   25.405730
> FaultNo.47   color.1
102.310084   25.241502
102.311975   25.242384
102.314538   25.243304
102.315925   25.243764
102.318404   25.244569
102.320589   25.245220
102.323026   25.245986
> FaultNo.48   color.1
102.423059   25.344728
102.422543   25.340322
102.421813   25.337545
102.421224   25.335841
102.420145   25.333397
102.418567   25.331671
102.416593   25.330030
102.415015   25.327993
102.412779   25.325477
102.410988   25.322370
102.409725   25.320836
102.407124   25.319007
102.404495   25.317090
102.401626   25.315373
102.397525   25.314130
102.395000   25.313269
102.391748   25.311946
102.388726   25.310390
102.386903   25.308670
102.384378   25.306465
102.381959   25.303876
102.379224   25.301095
102.376805   25.298122
102.372807   25.292463
102.371124   25.290065
102.369021   25.287284
102.366812   25.284599
102.364919   25.282009
102.362816   25.279035
102.360713   25.276446
102.358925   25.274336
102.357348   25.272514
102.353878   25.268485
102.351355   25.265992
102.349043   25.264073
102.346415   25.261772
102.342840   25.258991
102.340738   25.257457
102.338111   25.255923
102.334643   25.253526
102.332331   25.251992
> FaultNo.49   color.1
102.277876   25.222793
102.275174   25.219577
102.272338   25.216602
102.270133   25.214203
102.268033   25.211901
102.266142   25.209980
102.263937   25.207582
102.261942   25.205471
102.259737   25.203455
102.257637   25.201248
102.255852   25.199425
102.254173   25.197122
102.253018   25.195107
102.252284   25.193091
102.252179   25.191268
102.251340   25.187909
102.249976   25.185030
102.248717   25.182535
102.247143   25.180423
102.245883   25.179656
102.243888   25.178888
102.240842   25.178313
102.238112   25.177929
102.234857   25.177545
102.230237   25.176681
102.225198   25.175818
102.220998   25.175242
102.216378   25.174473
102.213124   25.173897
102.210604   25.173609
> FaultNo.50   color.1
102.455855   25.394984
102.453144   25.392037
102.450102   25.388016
102.448217   25.383898
102.446026   25.379114
102.444236   25.375469
102.440675   25.368478
102.438268   25.362923
102.437116   25.360433
102.435031   25.356922
102.432083   25.353634
102.428621   25.349516
102.427049   25.347218
102.426002   25.345111
> FaultNo.62   color.1
102.579379   24.566057
102.567634   24.540847
102.547608   24.499879
102.528978   24.454502
102.506218   24.406597
> FaultNo.65   color.1
103.088358   30.296607
103.157949   30.351521
103.173828   30.368096
103.183936   30.378755
103.192617   30.388232
103.210750   30.407576
103.228700   30.437766
103.256443   30.481827
> FaultNo.66   color.1
103.319961   30.555134
103.317783   30.546270
103.315908   30.540435
> FaultNo.67   color.1
101.956875   31.001750
101.971455   30.978999
101.975400   30.972813
101.977676   30.969268
102.015732   30.915825
102.019932   30.909790
102.023945   30.903782
102.034551   30.890171
102.045156   30.879285
102.067207   30.859438
102.070986   30.855891
102.132070   30.810940
102.171992   30.783931
102.206035   30.763857
102.227256   30.751948
102.228242   30.751399
102.243633   30.743274
102.244648   30.742732
102.287129   30.720095
102.328389   30.698953
102.332148   30.697400
102.358994   30.686318
102.366348   30.684060
102.418750   30.667976
102.449326   30.659480
102.450781   30.658826
102.496631   30.638220
102.503291   30.635344
102.536582   30.620427
102.537295   30.620107
102.556592   30.614563
102.561064   30.614167
102.567149   30.613629
> FaultNo.68   color.1
102.567149   30.613629
102.570723   30.613313
102.587598   30.613262
102.607100   30.616321
102.619478   30.619363
> FaultNo.69   color.1
102.619478   30.619363
102.624102   30.620500
102.661777   30.633052
102.671582   30.636592
102.690635   30.643459
102.708428   30.649348
102.709287   30.649626
102.714990   30.651460
102.717715   30.652585
102.723193   30.654858
102.774219   30.677212
102.792998   30.683289
102.811328   30.689243
102.821670   30.692598
102.873291   30.711860
102.882031   30.715122
102.890781   30.717329
102.898457   30.718799
102.961514   30.727942
102.962490   30.728511
102.972197   30.730686
102.994961   30.736763
103.021045   30.745789
103.022510   30.746299
103.034824   30.750674
103.048994   30.755715
103.050684   30.756313
103.066094   30.761201
103.097109   30.771025
> FaultNo.107   color.1
105.276866   32.231593
105.277587   32.233204
105.281025   32.238320
105.285041   32.241001
105.289630   32.244414
105.289343   32.244657
105.289917   32.244901
> FaultNo.108   color.1
102.887295   29.698577
102.884941   29.701106
102.884482   29.701843
102.882031   29.705835
102.881436   29.711404
> FaultNo.109   color.1
102.881436   29.711404
102.881250   29.713696
> FaultNo.110   color.1
102.881250   29.713696
102.881260   29.720107
102.881738   29.721758
102.882578   29.724663
102.883770   29.728486
102.885713   29.734678
102.885762   29.734795
102.887646   29.739158
102.888506   29.744688
102.889141   29.748750
102.889355   29.750496
102.889717   29.754214
102.889492   29.758723
102.888418   29.763186
102.888164   29.764243
102.886484   29.769548
102.884844   29.772761
102.882832   29.776702
102.882598   29.777139
102.879063   29.782031
102.876172   29.786050
102.873408   29.789871
102.867559   29.796990
102.865195   29.799871
102.857607   29.809116
102.854502   29.813357
102.849434   29.820264
102.843770   29.830371
102.841201   29.836829
102.839814   29.843354
102.838857   29.848442
102.836514   29.860967
102.836055   29.863433
102.835938   29.864109
102.835186   29.868333
102.834268   29.874177
102.833555   29.878696
102.830918   29.890574
102.830322   29.892478
102.829395   29.895454
102.828789   29.897363
102.826787   29.900894
102.825313   29.902476
102.824932   29.902876
102.824160   29.903848
102.823984   29.904087
102.822256   29.906521
102.821768   29.907212
102.817666   29.911223
102.817295   29.911584
102.815098   29.914026
102.814268   29.914946
102.811406   29.917214
102.808721   29.919404
102.808096   29.919956
102.797627   29.931047
102.797227   29.931201
102.792461   29.936646
102.788252   29.942676
102.787969   29.943452
102.787031   29.945935
102.785039   29.952632
102.784404   29.954766
102.781289   29.964387
102.780889   29.964792
102.780029   29.967437
102.778721   29.971611
102.774922   29.977998
102.773945   29.979097
102.763330   29.991062
102.760508   29.993564
102.753643   29.999639
102.747705   30.003938
102.740957   30.008967
102.738457   30.010859
102.713887   30.032517
102.710605   30.035408
102.700352   30.044451
102.693770   30.049070
102.682246   30.057168
> FaultNo.111   color.1
100.738721   27.978472
100.742168   27.975012
100.752705   27.965603
100.755039   27.963435
100.755566   27.963003
100.761006   27.958457
100.773096   27.951914
100.778779   27.949463
100.785361   27.948254
100.799600   27.947256
100.810840   27.947539
100.833848   27.947661
100.836260   27.947131
100.846152   27.946392
100.852764   27.945203
100.856563   27.942729
100.862969   27.939382
100.864346   27.938547
100.875068   27.932039
100.888271   27.926760
100.923262   27.917957
100.931729   27.916169
100.974277   27.904937
100.987529   27.899646
101.003125   27.890647
101.010068   27.885732
101.017334   27.880962
101.051152   27.858621
101.078145   27.838464
101.078584   27.838105
101.102891   27.816467
101.110820   27.809355
101.115459   27.804727
101.121563   27.798625
101.128496   27.793706
